Player,Nation,Pos,Squad,Age,Born,90s,GA,PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Cmp,Att,Cmp%,Att,Thr,Launch%,AvgLen,Att,Launch%,AvgLen,Opp,Stp,Stp%,#OPA,#OPA/90,AvgDist
Adrián\Adrian,es ESP,GK,Liverpool,33,1987,3,3,0,0,0.67,0,2.63,0.42,-0.37,-0.36,4,10.7,37.5,25.7,6.67,31.2,34.9,7.33,36.4,32.6,9.67,0.67,6.9,0.33,0.33,4.4
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,25,1995,0.2,0,0,0,0,0,0.5,0.04,0.5,0.5,0,15,0,50,10,30,31.8,5,0,30,20,0,0,0,0,87.5
Alisson\Alisson,br BRA,GK,Liverpool,27,1992,33,0.97,0.12,0.03,0.12,0,1.15,0.31,0.18,0.18,3.88,8.33,46.5,29.2,4.82,22.6,30.2,5.24,32.9,35.5,6.61,0.67,10.1,1.33,1.33,0.54
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,27,1993,36,1.33,0.17,0,0.11,0.03,1.52,0.32,0.21,0.21,4.75,12,39.7,20.9,4.39,38.2,34,6.92,57.8,43.1,9.03,0.89,9.8,0.56,0.56,0.39
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,1.23,0.15,0,0,0,1.14,0.31,-0.09,-0.09,5.85,12,48.7,30.5,6,29.8,30.8,6.92,42.2,35,6.15,0.77,12.5,0.92,0.92,2.78
Jack Butland\Jack-Butland,eng ENG,GK,Crystal Palace,27,1993,1,2,0,0,0,0,0.8,0.17,-1.2,-1.17,3,18,16.7,13,2,76.9,55.2,8,100,77.1,10,1,10,2,2,23
David Button\David-Button,eng ENG,GK,West Brom,31,1989,1,2,0,0,1,0,1.7,0.24,-0.3,-0.31,8,29,27.6,25,2,68,49.2,12,100,67,10,1,10,0,0,10
Willy Caballero\Willy-Caballero,ar ARG,GK,Chelsea,38,1981,1,3,0,0,1,0,1.5,0.49,-1.5,-1.54,1,3,33.3,20,2,15,24.6,6,0,19.7,8,0,0,2,2,22
Scott Carson\Scott-Carson,eng ENG,GK,Manchester City,34,1985,1,3,1,0,1,0,2.4,0.21,-0.6,-0.58,0,1,0,14,6,0,21.4,2,50,47,7,0,0,0,0,14.6
Kiko Casilla\Kiko-Casilla,es ESP,GK,Leeds United,33,1986,3,0.67,0,0,0,0,1.43,0.36,0.77,0.77,5.33,8.67,61.5,21,7,20.6,26,10.3,41.9,34,6,1,16.7,0.33,0.33,4.97
Karl Darlow\Karl-Darlow,eng ENG,GK,Newcastle Utd,29,1990,25,1.72,0.12,0.04,0.16,0.08,1.48,0.28,-0.16,-0.16,7.36,21.3,34.6,20.2,3.52,68.4,50.5,8.8,84.5,60.2,9.56,0.88,9.2,0.24,0.24,0.49
Martin Dúbravka\Martin-Dubravka,sk SVK,GK,Newcastle Utd,31,1989,13,1.46,0.08,0,0.08,0.08,1.5,0.31,0.12,0.11,6.08,14.3,42.5,23.5,4.92,38.2,36.9,9.31,57,47.3,12.4,1,8.1,0.46,0.46,0.95
Ederson\Ederson,br BRA,GK,Manchester City,26,1993,36,0.78,0.19,0,0.06,0.03,0.81,0.27,0.06,0.06,3.86,8.47,45.6,25.9,4.11,24.9,31.5,4.39,46.2,43,4.97,0.39,7.8,0.64,0.64,0.44
Łukasz Fabiański\Lukasz-Fabianski,pl POL,GK,West Ham,35,1985,35,1.26,0.09,0,0.11,0.11,1.28,0.32,0.14,0.14,8.03,18.9,42.4,20.9,4.03,60.9,46.2,7.74,80.1,57,10.2,0.77,7.6,0.31,0.31,0.35
Fraser Forster\Fraser-Forster,eng ENG,GK,Southampton,32,1988,8,1.38,0.25,0,0.13,0,1.1,0.25,-0.28,-0.27,5.38,19.1,28.1,26.3,3.63,51.4,41,8,70.3,49.6,11,0.88,8,0.88,0.88,1.9
David de Gea\David-de-Gea,es ESP,GK,Manchester Utd,29,1990,25.5,1.25,0.16,0.04,0.2,0.08,1.17,0.31,-0.01,-0.01,3.69,8.51,43.3,16.5,3.14,35.5,33.7,6.75,39,34.6,7.65,0.35,4.6,0.35,0.35,0.55
Vicente Guaita\Vicente-Guaita,es ESP,GK,Crystal Palace,33,1987,37,1.73,0.08,0.03,0.24,0,1.67,0.36,-0.06,-0.06,6.84,19.5,35.1,20.7,3.97,58.9,43.9,8.49,86,60.9,9.92,0.7,7.1,0.41,0.41,0.35
Dean Henderson\Dean-Henderson,eng ENG,GK,Manchester Utd,23,1997,12.5,0.96,0,0,0.32,0,0.98,0.26,0.02,0.02,3.28,8.8,37.3,17.6,4.88,35.9,35.4,7.52,33,33.5,8.4,0.72,8.6,1.12,1.12,1.22
Sam Johnstone\Sam-Johnstone,eng ENG,GK,West Brom,27,1993,37,2,0.19,0.05,0.35,0.08,2.04,0.3,0.12,0.12,9.08,26,35,26.7,4.57,71.2,51.2,7.97,87.5,60.9,9.41,0.68,7.2,0.7,0.7,0.39
Caoimhín Kelleher\Caoimhin-Kelleher,ie IRL,GK,Liverpool,21,1998,2,0.5,0,0,0,0,1.1,0.32,0.6,0.62,4,9.5,42.1,24,5,31.3,34.1,7,28.6,33.7,9.5,1,10.5,0.5,0.5,9.15
Bernd Leno\Bernd-Leno,de GER,GK,Arsenal,28,1992,34.8,1.06,0.03,0,0.14,0.11,1.07,0.31,0.12,0.12,3.16,9.71,32.5,26.7,4.77,22,28.6,6.49,58.8,46.6,8.91,0.75,8.4,0.63,0.63,0.42
Hugo Lloris\Hugo-Lloris,fr FRA,GK,Tottenham,33,1986,38,1.18,0.26,0,0.08,0.08,1.24,0.28,0.13,0.13,5.32,12.9,41.3,21,4.16,46.3,37.3,7.05,44.4,36.7,9.63,0.47,4.9,0.42,0.42,0.35
Emiliano Martínez\Emiliano-Martinez,ar ARG,GK,Aston Villa,27,1992,38,1.21,0.13,0.05,0.11,0.03,1.38,0.27,0.19,0.2,7.61,19.2,39.7,27.4,4.26,52.7,42.5,6.68,70.5,52.9,10.3,0.87,8.4,0.55,0.55,0.34
Alex McCarthy\Alex-McCarthy,eng ENG,GK,Southampton,30,1989,30,1.9,0.2,0.03,0.13,0.03,1.6,0.31,-0.27,-0.27,5.17,17.5,29.5,29.9,4.13,45.8,36.8,5.7,66.7,47.6,7.97,0.73,9.2,0.67,0.67,0.5
Edouard Mendy\Edouard-Mendy,sn SEN,GK,Chelsea,28,1992,30.5,0.82,0.07,0.03,0.13,0.03,0.79,0.27,0,0,4.13,8.69,47.5,27.1,4.1,24.5,28.7,5.93,34.8,32.3,6.79,0.43,6.3,0.66,0.66,0.5
Illan Meslier\Illan-Meslier,fr FRA,GK,Leeds United,20,2000,35,1.49,0.23,0.03,0.31,0.06,1.58,0.27,0.15,0.15,5.17,11.7,44.3,30.9,7.69,28.4,30.6,7.6,38.3,34,5.66,0.6,10.6,0.57,0.57,0.39
Will Norris\Will-Norris,eng ENG,GK,Burnley,26,1993,2,2,0,0,1,0,0.55,0.19,-1.45,-1.44,10.5,25,42,18.5,0.5,89.2,62.6,9.5,89.5,67.7,9,0.5,5.6,0.5,0.5,7.55
Robin Olsen\Robin-Olsen,se SWE,GK,Everton,30,1990,7,1.29,0.14,0,0,0,1.36,0.33,0.07,0.08,7.14,14.9,48.1,21.1,3,49.3,41.1,7.29,60.8,46.3,7.29,0.57,7.8,0.14,0.14,1.57
Rui Patrício\Rui-Patricio,pt POR,GK,Wolves,32,1988,37,1.38,0.19,0.03,0.24,0.08,1.21,0.28,-0.09,-0.09,5.54,12.3,45.2,14.5,3.49,53,40.6,7.16,64.2,44.9,10.1,0.59,5.9,0.16,0.16,0.31
Bailey Peacock-Farrell\Bailey-Peacock-Farrell,nir NIR,GK,Burnley,23,1996,4,3.5,0,0,0.5,0,2.38,0.38,-1.13,-1.14,10.3,23.5,43.6,21,1.25,81,57.6,7.25,89.7,68,9,0,0,0.75,0.75,3.85
Jordan Pickford\Jordan-Pickford,eng ENG,GK,Everton,26,1994,30.5,1.28,0.07,0.03,0.16,0.03,1.28,0.3,0.03,0.03,9.02,21.3,42.3,31,4.43,53.3,43.4,6.79,70.5,56.5,9.67,0.79,8.1,0.62,0.62,0.48
Nick Pope\Nick-Pope,eng ENG,GK,Burnley,28,1992,32,1.16,0.09,0,0.22,0.03,1.28,0.26,0.15,0.15,9.13,23.7,38.6,22.8,4,74.3,53,7.84,86.1,62.3,10.2,1.31,12.9,1.28,1.28,0.52
Aaron Ramsdale\Aaron-Ramsdale,eng ENG,GK,Sheffield Utd,22,1998,38,1.66,0.08,0,0.21,0.08,1.63,0.29,0.05,0.05,7.63,22.6,33.8,22.6,3.26,70,52.8,7.39,91.5,69.7,8.84,0.84,9.5,0.58,0.58,0.4
Darren Randolph\Darren-Randolph,ie IRL,GK,West Ham,33,1987,3,1,0,0,1,0,1.2,0.4,0.2,0.21,4.33,14.3,30.2,14.7,1.67,65.9,47.3,7.33,63.6,47,10.7,0,0,0.33,0.33,4.07
Marek Rodák\Marek-Rodak,sk SVK,GK,Fulham,23,1996,2,2.5,0.5,0,0.5,0,2,0.45,-0.5,-0.52,3.5,7,50,19.5,3.5,28.2,30.6,3.5,42.9,37.4,8,1,12.5,0.5,0.5,6.85
John Ruddy\John-Ruddy,eng ENG,GK,Wolves,33,1986,1,1,0,0,1,0,1.1,0.28,0.1,0.13,1,6,16.7,19,10,26.3,33.5,5,20,39.6,9,0,0,0,0,10.4
Mathew Ryan\Mathew-Ryan,au AUS,GK,Brighton,28,1992,11,1.73,0.36,0,0.27,0.09,1.35,0.37,-0.29,-0.29,5.18,12.8,40.4,31,5.09,33.4,32.5,5.27,46.6,40.2,9.36,0.64,6.8,0.55,0.55,1.31
Mathew Ryan\Mathew-Ryan,au AUS,GK,Arsenal,28,1992,3,0.67,0.33,0,0,0,1.4,0.36,0.73,0.73,2,3.67,54.5,19.3,6.33,13.8,26.3,3,33.3,33,6.67,1.33,20,0.33,0.33,4.47
Robert Sánchez\Robert-Sanchez,es ESP,GK,Brighton,22,1997,27,1,0.07,0,0.22,0.04,1.14,0.34,0.18,0.18,6.74,17.5,38.6,34,3.96,40.5,38.3,6.56,56.5,46.7,7.78,0.41,5.2,0.52,0.52,0.53
Kasper Schmeichel\Kasper-Schmeichel,dk DEN,GK,Leicester City,33,1986,38,1.32,0.11,0,0.24,0.05,1.28,0.34,0.01,0.01,5.95,14,42.4,26.6,4.32,42.4,38,5.5,50.2,42.7,7.82,0.63,8.1,0.37,0.37,0.34
Zack Steffen\Zack-Steffen,us USA,GK,Manchester City,25,1995,1,1,0,0,0,0,0.6,0.32,-0.4,-0.37,2,6,33.3,20,4,25,31.1,8,12.5,20.5,10,0,0,0,0,7
João Virgínia\Joao-Virginia,pt POR,GK,Everton,20,1999,0.5,0,0,0,0,0,0.4,0.07,0.4,0.39,6,22,27.3,26,6,61.5,50.9,8,75,54.5,4,0,0,0,0,42
